'glider(d-2)(ph0)(♗⬃⓪)' (12, 110, 129) ['g0', 'g1', 'g2', 'g3', 'g4', 'glider(d-2)(ph0)(♗⬃⓪)']
'glider(d-2)(ph0)(♗⬃⓪)' (13, 109, 129) ['g0', 'g1', 'g2', 'g3', 'g4', 'glider(d-2)(ph0)(♗⬃⓪)']
'glider(d-3)(ph1)(♝⬃①)' (11, 94, 129) ['g0', 'g1', 'g2', 'g3', 'g4', 'g5', 'glider(d-3)(ph1)(♝⬃①)']
'glider(d-5)(ph3)(♝⬃①)' (36, 234, 227) ['g0', 'g1', 'g2', 'glider(d-5)(ph3)(♝⬃①)']
'glider(d-9)(ph0)(♝⬃⓪)' (11, 141, 218) ['g0', 'g1', 'g2', 'g3', 'g4', 'glider(d-9)(ph0)(♝⬃⓪)']
'glider(d-9)(ph0)(♝⬃⓪)' (11, 141, 225) ['g0', 'g1', 'g2', 'g3', 'glider(d-9)(ph0)(♝⬃⓪)']
'glider(d0)(ph3)(♗⬃①)' (16, 175, 173) ['g0', 'g1', 'g2', 'g3', 'g4', 'g5', 'glider(d0)(ph3)(♗⬃①)']
'glider(d10)(ph0)(♗⬃⓪)' (21, 230, 141) ['g0', 'g1', 'g2', 'g3', 'g4', 'g5', 'glider(d10)(ph0)(♗⬃⓪)']
'glider(d10)(ph1)(♗⬃①)' (21, 227, 135) ['g0', 'g1', 'g2', 'g3', 'g4', 'glider(d10)(ph1)(♗⬃①)']
'glider(d10)(ph2)(♗⬃⓪)' (6, 93, 149) ['g0', 'g1', 'g2', 'g3', 'g4', 'g5', 'glider(d10)(ph2)(♗⬃⓪)']
'glider(d10)(ph3)(♗⬃①)' (21, 209, 171) ['g0', 'g1', 'g2', 'g3', 'glider(d10)(ph3)(♗⬃①)']
'glider(d10)(ph3)(♗⬃①)' (27, 113, 239) ['g0', 'g1', 'g2', 'g3', 'g4', 'glider(d10)(ph3)(♗⬃①)']
'glider(d11)(ph0)(♝⬃⓪)' (30, 253, 147) ['g0', 'g1', 'g2', 'g3', 'g4', 'g5', 'glider(d11)(ph0)(♝⬃⓪)']
'glider(d11)(ph3)(♝⬃①)' (20, 97, 100) ['g0', 'g1', 'g2', 'g3', 'g4', 'g5', 'g6', 'glider(d11)(ph3)(♝⬃①)']
'glider(d11)(ph3)(♝⬃①)' (20, 97, 101) ['g0', 'g1', 'g2', 'g3', 'g4', 'g5', 'g6', 'glider(d11)(ph3)(♝⬃①)']
'glider(d11)(ph3)(♝⬃①)' (20, 97, 102) ['g0', 'g1', 'g2', 'g3', 'g4', 'g5', 'g6', 'glider(d11)(ph3)(♝⬃①)']
'glider(d11)(ph3)(♝⬃①)' (20, 97, 103) ['g0', 'g1', 'g2', 'g3', 'g4', 'g5', 'g6', 'glider(d11)(ph3)(♝⬃①)']
'glider(d11)(ph3)(♝⬃①)' (20, 97, 104) ['g0', 'g1', 'g2', 'g3', 'g4', 'g5', 'g6', 'glider(d11)(ph3)(♝⬃①)']
'glider(d11)(ph3)(♝⬃①)' (20, 97, 105) ['g0', 'g1', 'g2', 'g3', 'g4', 'g5', 'g6', 'glider(d11)(ph3)(♝⬃①)']
'glider(d11)(ph3)(♝⬃①)' (20, 97, 106) ['g0', 'g1', 'g2', 'g3', 'g4', 'g5', 'g6', 'glider(d11)(ph3)(♝⬃①)']
'glider(d11)(ph3)(♝⬃①)' (20, 97, 107) ['g0', 'g1', 'g2', 'g3', 'g4', 'g5', 'g6', 'glider(d11)(ph3)(♝⬃①)']
'glider(d11)(ph3)(♝⬃①)' (20, 97, 108) ['g0', 'g1', 'g2', 'g3', 'g4', 'g5', 'g6', 'glider(d11)(ph3)(♝⬃①)']
'glider(d11)(ph3)(♝⬃①)' (20, 97, 109) ['g0', 'g1', 'g2', 'g3', 'g4', 'g5', 'g6', 'glider(d11)(ph3)(♝⬃①)']
'glider(d11)(ph3)(♝⬃①)' (20, 97, 110) ['g0', 'g1', 'g2', 'g3', 'g4', 'g5', 'g6', 'glider(d11)(ph3)(♝⬃①)']
'glider(d11)(ph3)(♝⬃①)' (20, 97, 111) ['g0', 'g1', 'g2', 'g3', 'g4', 'g5', 'g6', 'glider(d11)(ph3)(♝⬃①)']
