sc67b3p120

NE black even
1, 108, 106, (67) {total: 281} {consumed: 3} glider(d-16)(ph0)(♗⬀⓪)
2, 109, 142, (67) {total: 318} {consumed: 3} glider(d-16)(ph2)(♗⬀⓪)
2, 251, 38, (67) {total: 356} {consumed: 3} glider(d8)(ph0)(♗⬀⓪)
5, 233, 87, (433) {total: 753} {consumed: 7} glider(d10)(ph2)(♗⬀⓪)
7, 125, 109, (67) {total: 301} {consumed: 3} glider(d-4)(ph0)(♗⬀⓪)
0, 37, 233, 87, (433) {total: 790} {consumed: 8} glider(d-12)(ph2)(♗⬀⓪)
0, 39, 125, 109, (67) {total: 340} {consumed: 4} glider(d-26)(ph0)(♗⬀⓪)
0, 41, 108, 106, (67) {total: 322} {consumed: 4} glider(d-36)(ph0)(♗⬀⓪)
0, 42, 109, 142, (67) {total: 360} {consumed: 4} glider(d-36)(ph2)(♗⬀⓪)
0, 42, 251, 38, (67) {total: 398} {consumed: 4} glider(d-12)(ph0)(♗⬀⓪)
0, 45, 233, 87, (433) {total: 798} {consumed: 8} glider(d-10)(ph2)(♗⬀⓪)
0, 47, 125, 109, (67) {total: 348} {consumed: 4} glider(d-24)(ph0)(♗⬀⓪)
0, 49, 108, 106, (67) {total: 330} {consumed: 4} glider(d-34)(ph0)(♗⬀⓪)
0, 50, 109, 142, (67) {total: 368} {consumed: 4} glider(d-34)(ph2)(♗⬀⓪)
0, 50, 251, 38, (67) {total: 406} {consumed: 4} glider(d-10)(ph0)(♗⬀⓪)
0, 53, 233, 87, (433) {total: 806} {consumed: 8} glider(d-8)(ph2)(♗⬀⓪)
0, 55, 125, 109, (67) {total: 356} {consumed: 4} glider(d-22)(ph0)(♗⬀⓪)
0, 57, 108, 106, (67) {total: 338} {consumed: 4} glider(d-32)(ph0)(♗⬀⓪)
0, 58, 109, 142, (67) {total: 376} {consumed: 4} glider(d-32)(ph2)(♗⬀⓪)
0, 58, 251, 38, (67) {total: 414} {consumed: 4} glider(d-8)(ph0)(♗⬀⓪)
