sc67b6p120

NE black even
7, 169, (367) {total: 536} {consumed: 5} glider(d0)(ph2)(♗⬀⓪)
1, 94, 169, (367) {total: 630} {consumed: 7} glider(d-38)(ph2)(♗⬀⓪)
1, 92, 36, (67) {total: 195} {consumed: 2} glider(d-6)(ph2)(♗⬀⓪)
1, 92, 38, (67) {total: 197} {consumed: 2} glider(d-6)(ph0)(♗⬀⓪)
1, 102, 169, (367) {total: 638} {consumed: 7} glider(d-36)(ph2)(♗⬀⓪)
1, 99, 156, (367) {total: 622} {consumed: 6} glider(d-10)(ph2)(♗⬀⓪)
1, 92, 114, (67) {total: 273} {consumed: 3} glider(d-6)(ph0)(♗⬀⓪)
1, 92, 117, (170) {total: 379} {consumed: 4} glider(d-8)(ph2)(♗⬀⓪)
1, 118, 169, (367) {total: 654} {consumed: 7} glider(d-32)(ph2)(♗⬀⓪)
1, 110, 169, (367) {total: 646} {consumed: 7} glider(d-34)(ph2)(♗⬀⓪)
1, 126, 169, (367) {total: 662} {consumed: 7} glider(d-30)(ph2)(♗⬀⓪)
1, 134, 169, (367) {total: 670} {consumed: 7} glider(d-28)(ph2)(♗⬀⓪)
1, 142, 169, (367) {total: 678} {consumed: 7} glider(d-26)(ph2)(♗⬀⓪)
1, 150, 169, (367) {total: 686} {consumed: 7} glider(d-24)(ph2)(♗⬀⓪)
1, 158, 169, (367) {total: 694} {consumed: 7} glider(d-22)(ph2)(♗⬀⓪)
1, 166, 169, (367) {total: 702} {consumed: 7} glider(d-20)(ph2)(♗⬀⓪)
1, 174, 169, (367) {total: 710} {consumed: 7} glider(d-18)(ph2)(♗⬀⓪)
1, 182, 169, (367) {total: 718} {consumed: 7} glider(d-16)(ph2)(♗⬀⓪)
1, 190, 169, (367) {total: 726} {consumed: 7} glider(d-14)(ph2)(♗⬀⓪)
1, 198, 169, (367) {total: 734} {consumed: 7} glider(d-12)(ph2)(♗⬀⓪)
1, 206, 169, (367) {total: 742} {consumed: 7} glider(d-10)(ph2)(♗⬀⓪)
1, 222, 169, (367) {total: 758} {consumed: 7} glider(d-6)(ph2)(♗⬀⓪)
1, 238, 169, (367) {total: 774} {consumed: 7} glider(d-2)(ph2)(♗⬀⓪)
1, 214, 169, (367) {total: 750} {consumed: 7} glider(d-8)(ph2)(♗⬀⓪)
1, 246, 169, (367) {total: 782} {consumed: 7} glider(d0)(ph2)(♗⬀⓪)
1, 254, 169, (367) {total: 790} {consumed: 7} glider(d2)(ph2)(♗⬀⓪)
1, 230, 169, (367) {total: 766} {consumed: 7} glider(d-4)(ph2)(♗⬀⓪)
3, 44, 169, (367) {total: 580} {consumed: 6} glider(d-20)(ph2)(♗⬀⓪)
3, 36, 169, (367) {total: 572} {consumed: 6} glider(d-22)(ph2)(♗⬀⓪)
3, 52, 169, (367) {total: 588} {consumed: 6} glider(d-18)(ph2)(♗⬀⓪)
3, 60, 169, (367) {total: 596} {consumed: 6} glider(d-16)(ph2)(♗⬀⓪)
3, 68, 169, (367) {total: 604} {consumed: 6} glider(d-14)(ph2)(♗⬀⓪)
3, 76, 169, (367) {total: 612} {consumed: 6} glider(d-12)(ph2)(♗⬀⓪)
3, 92, 169, (367) {total: 628} {consumed: 6} glider(d-8)(ph2)(♗⬀⓪)
3, 100, 169, (367) {total: 636} {consumed: 6} glider(d-6)(ph2)(♗⬀⓪)
3, 116, 169, (367) {total: 652} {consumed: 6} glider(d-2)(ph2)(♗⬀⓪)
3, 108, 169, (367) {total: 644} {consumed: 6} glider(d-4)(ph2)(♗⬀⓪)
3, 124, 169, (367) {total: 660} {consumed: 6} glider(d0)(ph2)(♗⬀⓪)
3, 140, 169, (367) {total: 676} {consumed: 6} glider(d4)(ph2)(♗⬀⓪)
3, 132, 169, (367) {total: 668} {consumed: 6} glider(d2)(ph2)(♗⬀⓪)
3, 148, 169, (367) {total: 684} {consumed: 6} glider(d6)(ph2)(♗⬀⓪)
3, 156, 169, (367) {total: 692} {consumed: 6} glider(d8)(ph2)(♗⬀⓪)
3, 164, 169, (367) {total: 700} {consumed: 6} glider(d10)(ph2)(♗⬀⓪)
3, 172, 169, (367) {total: 708} {consumed: 6} glider(d12)(ph2)(♗⬀⓪)
3, 180, 169, (367) {total: 716} {consumed: 6} glider(d14)(ph2)(♗⬀⓪)
3, 188, 169, (367) {total: 724} {consumed: 6} glider(d16)(ph2)(♗⬀⓪)
3, 196, 169, (367) {total: 732} {consumed: 6} glider(d18)(ph2)(♗⬀⓪)
3, 204, 169, (367) {total: 740} {consumed: 6} glider(d20)(ph2)(♗⬀⓪)
3, 212, 169, (367) {total: 748} {consumed: 6} glider(d22)(ph2)(♗⬀⓪)
3, 220, 169, (367) {total: 756} {consumed: 6} glider(d24)(ph2)(♗⬀⓪)
3, 228, 169, (367) {total: 764} {consumed: 6} glider(d26)(ph2)(♗⬀⓪)
3, 236, 169, (367) {total: 772} {consumed: 6} glider(d28)(ph2)(♗⬀⓪)
3, 244, 169, (367) {total: 780} {consumed: 6} glider(d30)(ph2)(♗⬀⓪)
3, 252, 169, (367) {total: 788} {consumed: 6} glider(d32)(ph2)(♗⬀⓪)
0, 35, 142, 64, (76) {total: 317} {consumed: 3} glider(d4)(ph0)(♗⬀⓪)
0, 35, 164, 78, (67) {total: 344} {consumed: 3} glider(d-8)(ph0)(♗⬀⓪)
0, 35, 164, 179, (67) {total: 445} {consumed: 4} glider(d-8)(ph0)(♗⬀⓪)
0, 35, 164, 195, (361) {total: 755} {consumed: 7} glider(d-8)(ph0)(♗⬀⓪)
0, 35, 189, 217, (375) {total: 816} {consumed: 7} glider(d30)(ph2)(♗⬀⓪)
0, 35, 208, 133, (367) {total: 743} {consumed: 7} glider(d-10)(ph2)(♗⬀⓪)
0, 35, 212, 185, (367) {total: 799} {consumed: 7} glider(d4)(ph2)(♗⬀⓪)
0, 35, 204, 51, (67) {total: 357} {consumed: 3} glider(d6)(ph0)(♗⬀⓪)
0, 35, 215, 246, (367) {total: 863} {consumed: 8} glider(d-10)(ph2)(♗⬀⓪)
0, 35, 219, 87, (67) {total: 408} {consumed: 4} glider(d-8)(ph2)(♗⬀⓪)
0, 35, 238, 40, (310) {total: 623} {consumed: 6} glider(d-10)(ph2)(♗⬀⓪)
0, 35, 242, 149, (203) {total: 629} {consumed: 6} glider(d-16)(ph2)(♗⬀⓪)
0, 35, 245, 208, (487) {total: 975} {consumed: 9} glider(d-12)(ph2)(♗⬀⓪)
1, 35, 35, 169, (585) {total: 824} {consumed: 8} glider(d-44)(ph2)(♗⬀⓪)
1, 35, 43, 169, (577) {total: 824} {consumed: 8} glider(d-42)(ph2)(♗⬀⓪)
1, 35, 51, 169, (569) {total: 824} {consumed: 8} glider(d-40)(ph2)(♗⬀⓪)
1, 35, 59, 169, (561) {total: 824} {consumed: 8} glider(d-38)(ph2)(♗⬀⓪)
1, 35, 67, 169, (553) {total: 824} {consumed: 8} glider(d-36)(ph2)(♗⬀⓪)
1, 35, 83, 169, (537) {total: 824} {consumed: 8} glider(d-32)(ph2)(♗⬀⓪)
1, 35, 91, 169, (529) {total: 824} {consumed: 8} glider(d-30)(ph2)(♗⬀⓪)
1, 35, 75, 169, (545) {total: 824} {consumed: 8} glider(d-34)(ph2)(♗⬀⓪)
1, 35, 99, 169, (521) {total: 824} {consumed: 8} glider(d-28)(ph2)(♗⬀⓪)
1, 35, 177, 36, (67) {total: 315} {consumed: 3} glider(d-6)(ph2)(♗⬀⓪)
1, 35, 177, 38, (67) {total: 317} {consumed: 3} glider(d-6)(ph0)(♗⬀⓪)
1, 35, 177, 114, (67) {total: 393} {consumed: 4} glider(d-6)(ph0)(♗⬀⓪)
1, 35, 177, 117, (170) {total: 499} {consumed: 5} glider(d-8)(ph2)(♗⬀⓪)
1, 35, 227, 169, (367) {total: 798} {consumed: 8} glider(d-26)(ph2)(♗⬀⓪)
1, 35, 235, 169, (367) {total: 806} {consumed: 8} glider(d-24)(ph2)(♗⬀⓪)
1, 35, 243, 169, (367) {total: 814} {consumed: 8} glider(d-22)(ph2)(♗⬀⓪)
1, 35, 251, 169, (367) {total: 822} {consumed: 8} glider(d-20)(ph2)(♗⬀⓪)
1, 38, 165, 124, (367) {total: 694} {consumed: 7} glider(d-22)(ph2)(♗⬀⓪)
1, 40, 94, 169, (641) {total: 944} {consumed: 9} glider(d-58)(ph2)(♗⬀⓪)
1, 40, 92, 36, (176) {total: 344} {consumed: 4} glider(d-26)(ph2)(♗⬀⓪)
1, 40, 92, 38, (174) {total: 344} {consumed: 4} glider(d-26)(ph0)(♗⬀⓪)
1, 40, 102, 169, (633) {total: 944} {consumed: 9} glider(d-56)(ph2)(♗⬀⓪)
1, 40, 92, 114, (218) {total: 464} {consumed: 5} glider(d-26)(ph0)(♗⬀⓪)
1, 40, 92, 117, (335) {total: 584} {consumed: 6} glider(d-28)(ph2)(♗⬀⓪)
1, 40, 110, 169, (625) {total: 944} {consumed: 9} glider(d-54)(ph2)(♗⬀⓪)
1, 40, 118, 169, (617) {total: 944} {consumed: 9} glider(d-52)(ph2)(♗⬀⓪)
1, 40, 126, 169, (609) {total: 944} {consumed: 9} glider(d-50)(ph2)(♗⬀⓪)
1, 40, 134, 169, (601) {total: 944} {consumed: 9} glider(d-48)(ph2)(♗⬀⓪)
1, 40, 150, 169, (585) {total: 944} {consumed: 9} glider(d-44)(ph2)(♗⬀⓪)
1, 40, 142, 169, (593) {total: 944} {consumed: 9} glider(d-46)(ph2)(♗⬀⓪)
1, 40, 158, 169, (577) {total: 944} {consumed: 9} glider(d-42)(ph2)(♗⬀⓪)
1, 40, 166, 169, (569) {total: 944} {consumed: 9} glider(d-40)(ph2)(♗⬀⓪)
1, 40, 182, 169, (553) {total: 944} {consumed: 9} glider(d-36)(ph2)(♗⬀⓪)
1, 40, 174, 169, (561) {total: 944} {consumed: 9} glider(d-38)(ph2)(♗⬀⓪)
1, 40, 190, 169, (545) {total: 944} {consumed: 9} glider(d-34)(ph2)(♗⬀⓪)
1, 40, 198, 169, (537) {total: 944} {consumed: 9} glider(d-32)(ph2)(♗⬀⓪)
1, 40, 214, 169, (521) {total: 944} {consumed: 9} glider(d-28)(ph2)(♗⬀⓪)
