sc35/67b3p46

NE black even
7, 44, 36, (67) {total: 147} {consumed: 3} glider(d-10)(ph2)(♗⬀⓪)
7, 51, 35, (67) {total: 153} {consumed: 3} glider(d-4)(ph0)(♗⬀⓪)
7, 44, 36, 35, (67) {total: 182} {consumed: 4} glider(d-10)(ph2)(♗⬀⓪)
6, 37, 40, 38, (68) {total: 183} {consumed: 6} glider(d2)(ph0)(♗⬀⓪)
0, 37, 44, 36, (67) {total: 184} {consumed: 4} glider(d-14)(ph0)(♗⬀⓪)
0, 37, 51, 35, (67) {total: 190} {consumed: 4} glider(d-8)(ph2)(♗⬀⓪)
0, 45, 44, 36, (67) {total: 192} {consumed: 4} glider(d-12)(ph0)(♗⬀⓪)
0, 45, 51, 35, (67) {total: 198} {consumed: 4} glider(d-6)(ph2)(♗⬀⓪)
0, 53, 44, 36, (67) {total: 200} {consumed: 4} glider(d-10)(ph0)(♗⬀⓪)
1, 58, 44, 36, (67) {total: 205} {consumed: 5} glider(d-20)(ph2)(♗⬀⓪)
0, 53, 51, 35, (67) {total: 206} {consumed: 4} glider(d-4)(ph2)(♗⬀⓪)
2, 103, 38, (67) {total: 208} {consumed: 3} glider(d8)(ph0)(♗⬀⓪)
0, 61, 44, 36, (67) {total: 208} {consumed: 4} glider(d-8)(ph0)(♗⬀⓪)
1, 58, 51, 35, (67) {total: 211} {consumed: 5} glider(d-14)(ph0)(♗⬀⓪)
1, 66, 44, 36, (67) {total: 213} {consumed: 5} glider(d-18)(ph2)(♗⬀⓪)
0, 61, 51, 35, (67) {total: 214} {consumed: 4} glider(d-2)(ph2)(♗⬀⓪)
0, 69, 44, 36, (67) {total: 216} {consumed: 4} glider(d-6)(ph0)(♗⬀⓪)
1, 66, 51, 35, (67) {total: 219} {consumed: 5} glider(d-12)(ph0)(♗⬀⓪)
1, 74, 44, 36, (67) {total: 221} {consumed: 5} glider(d-16)(ph2)(♗⬀⓪)
0, 69, 51, 35, (67) {total: 222} {consumed: 4} glider(d0)(ph2)(♗⬀⓪)
0, 77, 44, 36, (67) {total: 224} {consumed: 4} glider(d-4)(ph0)(♗⬀⓪)
5, 66, 52, 40, (67) {total: 225} {consumed: 3} glider(d18)(ph2)(♗⬀⓪)
1, 74, 51, 35, (67) {total: 227} {consumed: 5} glider(d-10)(ph0)(♗⬀⓪)
1, 82, 44, 36, (67) {total: 229} {consumed: 5} glider(d-14)(ph2)(♗⬀⓪)
0, 77, 51, 35, (67) {total: 230} {consumed: 4} glider(d2)(ph2)(♗⬀⓪)
0, 85, 44, 36, (67) {total: 232} {consumed: 4} glider(d-2)(ph0)(♗⬀⓪)
1, 82, 51, 35, (67) {total: 235} {consumed: 5} glider(d-8)(ph0)(♗⬀⓪)
1, 90, 44, 36, (67) {total: 237} {consumed: 5} glider(d-12)(ph2)(♗⬀⓪)
0, 85, 51, 35, (67) {total: 238} {consumed: 4} glider(d4)(ph2)(♗⬀⓪)
0, 93, 44, 36, (67) {total: 240} {consumed: 4} glider(d0)(ph0)(♗⬀⓪)
1, 90, 51, 35, (67) {total: 243} {consumed: 5} glider(d-6)(ph0)(♗⬀⓪)
7, 51, 41, 84, (67) {total: 243} {consumed: 6} glider(d-16)(ph2)(♗⬀⓪)
1, 98, 44, 36, (67) {total: 245} {consumed: 5} glider(d-10)(ph2)(♗⬀⓪)
0, 40, 103, 38, (67) {total: 248} {consumed: 4} glider(d6)(ph2)(♗⬀⓪)
0, 101, 44, 36, (67) {total: 248} {consumed: 4} glider(d2)(ph0)(♗⬀⓪)
1, 98, 51, 35, (67) {total: 251} {consumed: 5} glider(d-4)(ph0)(♗⬀⓪)
6, 45, 65, 75, (67) {total: 252} {consumed: 6} glider(d-14)(ph2)(♗⬀⓪)
1, 106, 44, 36, (67) {total: 253} {consumed: 5} glider(d-8)(ph2)(♗⬀⓪)
5, 89, 52, 46, (67) {total: 254} {consumed: 4} glider(d24)(ph0)(♗⬀⓪)
0, 48, 103, 38, (67) {total: 256} {consumed: 4} glider(d8)(ph2)(♗⬀⓪)
0, 109, 44, 36, (67) {total: 256} {consumed: 4} glider(d4)(ph0)(♗⬀⓪)
1, 53, 103, 38, (67) {total: 261} {consumed: 5} glider(d-2)(ph0)(♗⬀⓪)
1, 114, 44, 36, (67) {total: 261} {consumed: 5} glider(d-6)(ph2)(♗⬀⓪)
7, 58, 42, 40, (121) {total: 261} {consumed: 6} glider(d8)(ph0)(♗⬀⓪)
0, 56, 103, 38, (67) {total: 264} {consumed: 4} glider(d10)(ph2)(♗⬀⓪)
0, 117, 44, 36, (67) {total: 264} {consumed: 4} glider(d6)(ph0)(♗⬀⓪)
1, 40, 67, 93, (67) {total: 267} {consumed: 6} glider(d-2)(ph0)(♗⬀⓪)
1, 48, 40, 113, (67) {total: 268} {consumed: 5} glider(d-2)(ph2)(♗⬀⓪)
1, 61, 103, 38, (67) {total: 269} {consumed: 5} glider(d0)(ph0)(♗⬀⓪)
