3, 201, (167) {total: 368} {consumed: 4} glider(d-10)(ph2)(♗⬀⓪)
1, 44, 138, (282) {total: 464} {consumed: 5} glider(d-21)(ph1)(♝⬃①)
1, 52, 138, (274) {total: 464} {consumed: 5} glider(d-19)(ph1)(♝⬃①)
1, 50, 201, (343) {total: 594} {consumed: 6} glider(d-28)(ph2)(♗⬀⓪)
1, 42, 201, (351) {total: 594} {consumed: 6} glider(d-30)(ph2)(♗⬀⓪)
1, 58, 201, (335) {total: 594} {consumed: 6} glider(d-26)(ph2)(♗⬀⓪)
1, 66, 201, (327) {total: 594} {consumed: 6} glider(d-24)(ph2)(♗⬀⓪)
1, 74, 201, (167) {total: 442} {consumed: 5} glider(d-22)(ph2)(♗⬀⓪)
1, 92, 134, (49) {total: 275} {consumed: 3} glider(d-12)(ph1)(♗⬃①)
1, 92, 163, (150) {total: 405} {consumed: 4} glider(d-5)(ph3)(♝⬃①)
1, 92, 169, (234) {total: 495} {consumed: 5} glider(d-5)(ph1)(♝⬃①)
1, 92, 207, (196) {total: 495} {consumed: 5} glider(d-5)(ph3)(♝⬃①)
1, 101, 179, (336) {total: 616} {consumed: 6} glider(d-16)(ph1)(♗⬃①)
1, 114, 201, (167) {total: 482} {consumed: 6} glider(d-42)(ph2)(♗⬀⓪)
1, 122, 201, (167) {total: 490} {consumed: 6} glider(d-40)(ph2)(♗⬀⓪)
1, 130, 201, (167) {total: 498} {consumed: 6} glider(d-38)(ph2)(♗⬀⓪)
1, 146, 201, (167) {total: 514} {consumed: 6} glider(d-34)(ph2)(♗⬀⓪)
1, 138, 201, (167) {total: 506} {consumed: 6} glider(d-36)(ph2)(♗⬀⓪)
1, 154, 201, (167) {total: 522} {consumed: 6} glider(d-32)(ph2)(♗⬀⓪)
1, 194, 201, (167) {total: 562} {consumed: 6} glider(d-22)(ph2)(♗⬀⓪)
1, 202, 201, (167) {total: 570} {consumed: 6} glider(d-20)(ph2)(♗⬀⓪)
1, 210, 201, (167) {total: 578} {consumed: 6} glider(d-18)(ph2)(♗⬀⓪)
1, 218, 201, (167) {total: 586} {consumed: 6} glider(d-16)(ph2)(♗⬀⓪)
1, 234, 201, (167) {total: 602} {consumed: 6} glider(d-12)(ph2)(♗⬀⓪)
1, 226, 201, (167) {total: 594} {consumed: 6} glider(d-14)(ph2)(♗⬀⓪)
1, 242, 201, (167) {total: 610} {consumed: 6} glider(d-10)(ph2)(♗⬀⓪)
1, 250, 201, (167) {total: 618} {consumed: 6} glider(d-8)(ph2)(♗⬀⓪)
3, 89, 62, (510) {total: 661} {consumed: 6} glider(d-11)(ph2)(♝⬀⓪)
3, 90, 65, (104) {total: 259} {consumed: 4} glider(d1)(ph3)(♝⬃①)
3, 105, 233, (38) {total: 376} {consumed: 4} glider(d-3)(ph3)(♝⬀①)
3, 102, 118, (127) {total: 347} {consumed: 4} glider(d-5)(ph2)(♝⬀⓪)
3, 102, 64, (38) {total: 204} {consumed: 2} glider(d-5)(ph2)(♝⬀⓪)
3, 102, 70, (103) {total: 275} {consumed: 3} glider(d-5)(ph2)(♝⬀⓪)
3, 193, 75, (362) {total: 630} {consumed: 6} glider(d-25)(ph2)(♝⬀⓪)
3, 193, 76, (55) {total: 324} {consumed: 4} glider(d-25)(ph2)(♝⬀⓪)
3, 201, 63, (464) {total: 728} {consumed: 7} glider(d-10)(ph2)(♗⬀⓪)
3, 201, 64, (223) {total: 488} {consumed: 5} glider(d-10)(ph2)(♗⬀⓪)
3, 198, 83, (93) {total: 374} {consumed: 4} glider(d12)(ph2)(♗⬀⓪)
3, 198, 105, (38) {total: 341} {consumed: 3} glider(d10)(ph0)(♗⬃⓪)
3, 215, 61, (221) {total: 497} {consumed: 4} glider(d22)(ph1)(♗⬃①)
3, 185, 129, (41) {total: 355} {consumed: 4} glider(d-6)(ph0)(♗⬃⓪)
3, 196, 67, (320) {total: 583} {consumed: 5} glider(d-10)(ph0)(♗⬃⓪)
3, 196, 128, (75) {total: 399} {consumed: 4} glider(d-10)(ph0)(♗⬃⓪)
3, 196, 139, (419) {total: 754} {consumed: 7} glider(d-10)(ph0)(♗⬃⓪)
3, 196, 147, (259) {total: 602} {consumed: 6} glider(d-10)(ph0)(♗⬃⓪)
3, 196, 182, (423) {total: 801} {consumed: 8} glider(d-10)(ph0)(♗⬃⓪)
3, 201, 148, (38) {total: 387} {consumed: 4} glider(d-10)(ph2)(♗⬀⓪)
3, 211, 183, (39) {total: 433} {consumed: 4} glider(d-5)(ph0)(♝⬃⓪)
3, 212, 96, (104) {total: 412} {consumed: 4} glider(d21)(ph1)(♝⬀①)
3, 210, 125, (486) {total: 821} {consumed: 7} glider(d6)(ph0)(♗⬀⓪)
3, 205, 250, (486) {total: 941} {consumed: 8} glider(d6)(ph0)(♗⬀⓪)
3, 240, 201, (167) {total: 608} {consumed: 7} glider(d-40)(ph2)(♗⬀⓪)
3, 256, 201, (167) {total: 624} {consumed: 7} glider(d-36)(ph2)(♗⬀⓪)
3, 248, 201, (167) {total: 616} {consumed: 7} glider(d-38)(ph2)(♗⬀⓪)
5, 138, 62, (38) {total: 238} {consumed: 2} glider(d-1)(ph1)(♝⬃①)
5, 138, 91, (132) {total: 361} {consumed: 4} glider(d-1)(ph1)(♝⬃①)
5, 138, 116, (358) {total: 612} {consumed: 6} glider(d-1)(ph1)(♝⬃①)
5, 138, 125, (38) {total: 301} {consumed: 3} glider(d-1)(ph1)(♝⬃①)
7, 132, 220, (209) {total: 561} {consumed: 5} glider(d2)(ph1)(♗⬃①)
7, 139, 151, (336) {total: 626} {consumed: 6} glider(d-12)(ph1)(♗⬃①)
7, 158, 136, (366) {total: 660} {consumed: 6} glider(d-5)(ph1)(♝⬀①)
7, 158, 144, (162) {total: 464} {consumed: 4} glider(d11)(ph2)(♝⬀⓪)
7, 148, 106, (71) {total: 325} {consumed: 3} glider(d6)(ph2)(♗⬀⓪)
7, 210, 92, (283) {total: 585} {consumed: 5} glider(d3)(ph1)(♝⬀①)
3, 120, 45, (225) {total: 390} {consumed: 4} glider(d-2)(ph1)(♗⬃①)
3, 192, 39, (41) {total: 272} {consumed: 3} glider(d-12)(ph0)(♗⬀⓪)
3, 193, 56, (269) {total: 518} {consumed: 5} glider(d-25)(ph2)(♝⬀⓪)
3, 196, 52, (773) {total: 1021} {consumed: 9} glider(d-10)(ph0)(♗⬃⓪)
3, 201, 48, (40) {total: 289} {consumed: 3} glider(d-10)(ph2)(♗⬀⓪)
3, 205, 39, (98) {total: 342} {consumed: 4} glider(d0)(ph0)(♗⬀⓪)
5, 137, 50, (38) {total: 225} {consumed: 2} glider(d-4)(ph2)(♗⬀⓪)
1, 38, 148, 106, (182) {total: 474} {consumed: 5} glider(d-16)(ph2)(♗⬀⓪)
1, 38, 139, 151, (506) {total: 834} {consumed: 8} glider(d-34)(ph1)(♗⬃①)
1, 38, 174, 169, (474) {total: 855} {consumed: 8} glider(d-5)(ph1)(♝⬃①)
1, 38, 174, 179, (224) {total: 615} {consumed: 6} glider(d-5)(ph3)(♝⬃①)
1, 38, 174, 205, (246) {total: 663} {consumed: 7} glider(d-5)(ph1)(♝⬃①)
1, 38, 186, 50, (213) {total: 487} {consumed: 5} glider(d-29)(ph3)(♝⬃①)
1, 38, 252, 220, (209) {total: 719} {consumed: 7} glider(d-20)(ph1)(♗⬃①)
1, 39, 61, 138, (346) {total: 584} {consumed: 6} glider(d-37)(ph1)(♝⬃①)
1, 39, 69, 138, (338) {total: 584} {consumed: 6} glider(d-35)(ph1)(♝⬃①)
1, 39, 67, 201, (407) {total: 714} {consumed: 7} glider(d-44)(ph2)(♗⬀⓪)
1, 39, 77, 138, (330) {total: 584} {consumed: 6} glider(d-33)(ph1)(♝⬃①)
1, 39, 75, 201, (399) {total: 714} {consumed: 7} glider(d-42)(ph2)(♗⬀⓪)
1, 39, 85, 138, (322) {total: 584} {consumed: 6} glider(d-31)(ph1)(♝⬃①)
1, 39, 83, 201, (391) {total: 714} {consumed: 7} glider(d-40)(ph2)(♗⬀⓪)
1, 39, 91, 201, (383) {total: 714} {consumed: 7} glider(d-38)(ph2)(♗⬀⓪)
1, 39, 93, 138, (314) {total: 584} {consumed: 6} glider(d-29)(ph1)(♝⬃①)
1, 39, 101, 138, (306) {total: 584} {consumed: 6} glider(d-27)(ph1)(♝⬃①)
1, 39, 109, 138, (298) {total: 584} {consumed: 6} glider(d-25)(ph1)(♝⬃①)
1, 39, 99, 201, (375) {total: 714} {consumed: 7} glider(d-36)(ph2)(♗⬀⓪)
1, 39, 107, 201, (367) {total: 714} {consumed: 7} glider(d-34)(ph2)(♗⬀⓪)
1, 39, 117, 138, (290) {total: 584} {consumed: 6} glider(d-23)(ph1)(♝⬃①)
1, 39, 125, 138, (282) {total: 584} {consumed: 6} glider(d-21)(ph1)(♝⬃①)
1, 39, 115, 201, (359) {total: 714} {consumed: 7} glider(d-32)(ph2)(♗⬀⓪)
1, 39, 111, 182, (283) {total: 615} {consumed: 6} glider(d-21)(ph1)(♝⬀①)
1, 39, 123, 201, (351) {total: 714} {consumed: 7} glider(d-30)(ph2)(♗⬀⓪)
1, 39, 133, 138, (274) {total: 584} {consumed: 6} glider(d-19)(ph1)(♝⬃①)
1, 39, 139, 201, (335) {total: 714} {consumed: 7} glider(d-26)(ph2)(♗⬀⓪)
1, 39, 131, 201, (343) {total: 714} {consumed: 7} glider(d-28)(ph2)(♗⬀⓪)
1, 39, 147, 201, (327) {total: 714} {consumed: 7} glider(d-24)(ph2)(♗⬀⓪)
1, 39, 155, 201, (167) {total: 562} {consumed: 6} glider(d-22)(ph2)(♗⬀⓪)
1, 39, 173, 134, (49) {total: 395} {consumed: 4} glider(d-12)(ph1)(♗⬃①)
1, 39, 173, 163, (150) {total: 525} {consumed: 5} glider(d-5)(ph3)(♝⬃①)
1, 39, 173, 169, (234) {total: 615} {consumed: 6} glider(d-5)(ph1)(♝⬃①)
1, 39, 182, 179, (336) {total: 736} {consumed: 7} glider(d-16)(ph1)(♗⬃①)
1, 40, 66, 201, (527) {total: 834} {consumed: 8} glider(d-44)(ph2)(♗⬀⓪)
1, 40, 92, 134, (208) {total: 474} {consumed: 5} glider(d-32)(ph1)(♗⬃①)
1, 40, 92, 163, (299) {total: 594} {consumed: 6} glider(d-25)(ph3)(♝⬃①)
1, 40, 92, 169, (413) {total: 714} {consumed: 7} glider(d-25)(ph1)(♝⬃①)
1, 40, 92, 207, (375) {total: 714} {consumed: 7} glider(d-25)(ph3)(♝⬃①)
1, 40, 101, 179, (514) {total: 834} {consumed: 8} glider(d-36)(ph1)(♗⬃①)
1, 40, 116, 138, (410) {total: 704} {consumed: 7} glider(d-53)(ph1)(♝⬃①)
1, 40, 114, 201, (479) {total: 834} {consumed: 8} glider(d-62)(ph2)(♗⬀⓪)
1, 40, 122, 201, (471) {total: 834} {consumed: 8} glider(d-60)(ph2)(♗⬀⓪)
1, 40, 124, 138, (402) {total: 704} {consumed: 7} glider(d-51)(ph1)(♝⬃①)
1, 40, 140, 138, (386) {total: 704} {consumed: 7} glider(d-47)(ph1)(♝⬃①)
1, 40, 130, 201, (463) {total: 834} {consumed: 8} glider(d-58)(ph2)(♗⬀⓪)
1, 40, 138, 201, (455) {total: 834} {consumed: 8} glider(d-56)(ph2)(♗⬀⓪)
1, 40, 132, 138, (394) {total: 704} {consumed: 7} glider(d-49)(ph1)(♝⬃①)
1, 40, 148, 138, (378) {total: 704} {consumed: 7} glider(d-45)(ph1)(♝⬃①)
1, 40, 156, 138, (370) {total: 704} {consumed: 7} glider(d-43)(ph1)(♝⬃①)
1, 40, 146, 201, (447) {total: 834} {consumed: 8} glider(d-54)(ph2)(♗⬀⓪)
1, 40, 164, 138, (362) {total: 704} {consumed: 7} glider(d-41)(ph1)(♝⬃①)
1, 40, 154, 201, (439) {total: 834} {consumed: 8} glider(d-52)(ph2)(♗⬀⓪)
1, 40, 162, 201, (431) {total: 834} {consumed: 8} glider(d-50)(ph2)(♗⬀⓪)
1, 40, 170, 201, (423) {total: 834} {consumed: 8} glider(d-48)(ph2)(♗⬀⓪)
1, 40, 172, 138, (354) {total: 704} {consumed: 7} glider(d-39)(ph1)(♝⬃①)
1, 40, 188, 138, (338) {total: 704} {consumed: 7} glider(d-35)(ph1)(♝⬃①)
1, 40, 178, 201, (415) {total: 834} {consumed: 8} glider(d-46)(ph2)(♗⬀⓪)
1, 40, 180, 138, (346) {total: 704} {consumed: 7} glider(d-37)(ph1)(♝⬃①)
1, 40, 196, 138, (330) {total: 704} {consumed: 7} glider(d-33)(ph1)(♝⬃①)
1, 40, 204, 138, (322) {total: 704} {consumed: 7} glider(d-31)(ph1)(♝⬃①)
1, 40, 212, 138, (314) {total: 704} {consumed: 7} glider(d-29)(ph1)(♝⬃①)
1, 40, 202, 201, (391) {total: 834} {consumed: 8} glider(d-40)(ph2)(♗⬀⓪)
1, 40, 194, 201, (399) {total: 834} {consumed: 8} glider(d-42)(ph2)(♗⬀⓪)
1, 40, 210, 201, (383) {total: 834} {consumed: 8} glider(d-38)(ph2)(♗⬀⓪)
1, 40, 220, 138, (306) {total: 704} {consumed: 7} glider(d-27)(ph1)(♝⬃①)
1, 40, 218, 201, (375) {total: 834} {consumed: 8} glider(d-36)(ph2)(♗⬀⓪)
